"year","population","ssb.apx","ssb.st","r","ryplus1","bt_anomaly","sst_anomaly","rps.apx","rps.st"
1994,"winter",5290.48599799672,5468.72595505021,1448.18902261115,3654.82488676071,0.114853990433334,-0.484229667812267,0.690829706031664,0.668313774872113
1995,"winter",5724.12907775067,6018.36001165374,3654.82488676071,3304.42874418893,0.639567114933334,0.307300854333343,0.577280613226043,0.549058005468325
1996,"winter",5688.31229757296,6084.96164954318,3304.42874418893,6461.39917431599,0.2511030291,-0.44299208731324,1.13590795235924,1.06186358213138
1997,"winter",4231.63325917971,4607.02008055856,6461.39917431599,4542.35216409789,0.199297786433334,-0.635016922855693,1.07342765449821,0.985963178946504
1998,"winter",4368.76540568385,4842.22766639836,4542.35216409789,12948.3097646444,0.0127489131000003,-0.459956341585617,2.96383727718555,2.67403985452741
1999,"winter",6441.49193762878,7270.91481254085,12948.3097646444,16609.4294997057,-0.4213825834,0.0445303436964508,2.5785066038319,2.28436585050589
2000,"winter",9468.85316890341,9291.4129902698,16609.4294997057,1283.65316940224,0.840852073266667,1.07283195525237,0.135565854333646,0.138154785579601
2001,"winter",13727.3917766651,13727.3917766651,1283.65316940224,7952.36113125867,0.2304291431,0.176537092048809,0.579306051771373,0.579306051771373
2002,"winter",14900.6007122427,14900.6007122427,7952.36113125867,7011.33609935348,0.444433622433333,0.610484756722867,0.470540499323144,0.470540499323144
2003,"winter",11096.3649373644,11096.3649373644,7011.33609935348,2903.00248702806,0.269673637766667,0.360914476519616,0.261617430880709,0.261617430880709
2004,"winter",8051.38391842086,8051.38391842086,2903.00248702806,5344.90173964232,-0.378347507566666,-0.313934708476021,0.663848823233191,0.663848823233191
2005,"winter",7006.63828603728,7006.63828603728,5344.90173964232,14282.6230181793,-0.930978307233334,-0.795843110404517,2.03844160853022,2.03844160853022
2006,"winter",7845.48068859016,7250.6969540761,14282.6230181793,9665.44389763425,0.0777937764333334,-0.302496179799975,1.23197599755626,1.3330365286058
2007,"winter",12531.0355712648,10764.9164639053,9665.44389763425,12333.8712023652,0.594648065266666,0.406015094821383,0.984265915791372,1.14574704260089
2008,"winter",13089.1318107452,10504.130857526,12333.8712023652,9170.56680247,-0.5421911689,-0.339958168607259,0.700624528430649,0.873043845974129
