"Year","bt_anomaly","sst_anomaly","Heatwave","GSI","calfin_100m3","pseudo_100m3","Age.1","SSB","RSSB","lAGE1"
2010,0.00148970093333389,0.643401134194336,91.9903,0.885368102722351,-0.198161020901288,-0.424381781330812,0.2142,2.77816403600082,0.099730388438268,0.194085423714197
2011,0.616082531933333,1.75225407551091,224.0223,0.332497125727637,-0.282478521674605,0.204934450693548,0.0038,1.93042488634648,0.00136780980199791,0.00379279823869626
2012,1.4864452011,0.593656935251571,206.826,-0.0620711638120817,-0.213302532330611,-0.237444354841069,0.0359,1.33695508751955,0.0185969421829949,0.0352706140819193
2013,1.39044063843333,2.35405210071018,837.9386,0.781262294278285,-0.0616879903954735,-0.0434504851423446,0.0069,1.04205465162342,0.00516098114619658,0.00687630393943206
2014,1.66366210976667,1.50722118000378,203.9362,0.497564027244512,NA,NA,0.0036,0.97427475248948,0.0034547132383043,0.00359353551013022
2015,1.65673042226667,1.36582878334148,289.6095,1.10645618108675,-0.0389493163752205,0.287161547042948,0.0194,3.99788539946338,0.0199122474953075,0.0192142189238044
2016,1.29249944643333,1.29360199583861,432.0571,1.10980813747143,0.323490385000778,0.743682774189585,0.0065,1.56738103867562,0.00162585951084853,0.00647896609770907
2017,1.63765229476667,1.66393409006136,430.1047,1.80816088370995,0.111437826933558,0.512338107525694,0.0329,3.80018674187503,0.0209904287395229,0.0323703800304506
2018,1.66536531143333,0.528214142355463,175.3804,1.27918838787256,0.119987828895772,-0.201035958752931,0.0234,1.94509061215367,0.00615759213676282,0.0231304173888545
2019,1.0447222531,1.66233487799735,279.6355,1.0412862037629,-0.221093253710753,0.25163470769299,0.0198,0.36351492120475,0.0101794743526507,0.0196065296389183
2020,2.13496625726667,0.988125899912552,183.933,1.88022565035791,NA,NA,NA,NA,NA,NA
